"ID","Term_Description","Fold_Enrichment","occurrence","support","lowest_p","highest_p","Up_regulated","Down_regulated"
"hsa04714","Thermogenesis",13.2970469293708,10,0.0882240522603287,4.17450961874371e-33,1.42066594265506e-16,"","COX5B, COX8A, COX10, NDUFAF6, NDUFAF3, COA3, NDUFA1, NDUFA2, NDUFA3, NDUFA6, NDUFA9, NDUFA10, NDUFB4, NDUFB5, NDUFB8, NDUFB9, NDUFS1, NDUFS2, NDUFS5, NDUFS6, NDUFS8, NDUFV2, NDUFAF1, SDHD, UQCRC2"
"hsa00190","Oxidative phosphorylation",20.0846404261616,10,0.0888969521044993,7.23690853009774e-32,1.63369090826713e-17,"","NDUFB9, NDUFB8, NDUFB5, NDUFB4, NDUFA10, NDUFA9, NDUFA6, NDUFA3, NDUFA2, NDUFA1, NDUFV2, NDUFS8, NDUFS6, NDUFS5, NDUFS2, NDUFS1, COX8A, UQCRC2, COX5B, SDHD, COX10"
"hsa05415","Diabetic cardiomyopathy",14.2157519899455,10,0.109432234432234,8.69628812642716e-30,5.66884276466005e-19,"","PPIF, VDAC3, SLC2A1, NDUFA1, NDUFA2, NDUFA3, NDUFA6, NDUFA9, NDUFA10, NDUFB4, NDUFB5, NDUFB8, NDUFB9, NDUFS1, NDUFS2, NDUFS5, NDUFS6, NDUFS8, NDUFV2, SDHD, UQCRC2, COX5B, COX8A, COL1A1"
"hsa04932","Non-alcoholic fatty liver disease",14.6829363276433,10,0.0856918238993711,1.60482723292118e-29,1.00387203173948e-15,"","COX5B, COX8A, NDUFA1, NDUFA2, NDUFA3, NDUFA6, NDUFA9, NDUFA10, NDUFB4, NDUFB5, NDUFB8, NDUFB9, NDUFS1, NDUFS2, NDUFS5, NDUFS6, NDUFS8, NDUFV2, SDHD, UQCRC2"
"hsa05208","Chemical carcinogenesis - reactive oxygen species",12.9635873068933,10,0.106236897274633,6.00380772070908e-29,1.08945655795514e-16,"","NDUFA1, NDUFA2, NDUFA3, NDUFA6, NDUFA9, NDUFA10, NDUFB4, NDUFB5, NDUFB8, NDUFB9, NDUFS1, NDUFS2, NDUFS5, NDUFS6, NDUFS8, NDUFV2, SDHD, UQCRC2, COX5B, COX8A, PPIF, VDAC3, HIF1A, SOD2"
"hsa05016","Huntington disease",10.1016325509949,10,0.10414673046252,2.48865273662799e-28,5.94636118898834e-16,"","NDUFA1, NDUFA2, NDUFA3, NDUFA6, NDUFA9, NDUFA10, NDUFB4, NDUFB5, NDUFB8, NDUFB9, NDUFS1, NDUFS2, NDUFS5, NDUFS6, NDUFS8, NDUFV2, SDHD, UQCRC2, COX5B, COX8A, HTT, PPIF, VDAC3, SOD2, ATG14"
"hsa05012","Parkinson disease",10.5626586004588,10,0.0886433394720688,1.75219928343174e-27,1.75052860033429e-15,"","NDUFA1, NDUFA2, NDUFA3, NDUFA6, NDUFA9, NDUFA10, NDUFB4, NDUFB5, NDUFB8, NDUFB9, NDUFS1, NDUFS2, NDUFS5, NDUFS6, NDUFS8, NDUFV2, SDHD, UQCRC2, COX5B, COX8A, PPIF, VDAC3, SLC39A9"
"hsa05020","Prion disease",9.97162893207774,10,0.088562091503268,2.29903194793079e-27,2.18827236964326e-15,"","NDUFA1, NDUFA2, NDUFA3, NDUFA6, NDUFA9, NDUFA10, NDUFB4, NDUFB5, NDUFB8, NDUFB9, NDUFS1, NDUFS2, NDUFS5, NDUFS6, NDUFS8, NDUFV2, SDHD, UQCRC2, COX5B, COX8A, PPIF, VDAC3"
"hsa04723","Retrograde endocannabinoid signaling",15.3809775628919,10,0.0738469601677149,2.29841586885372e-26,4.38523152467837e-15,"","GABRB1, GNB2, NDUFA1, NDUFA2, NDUFA3, NDUFA6, NDUFA9, NDUFA10, NDUFB4, NDUFB5, NDUFB8, NDUFB9, NDUFS1, NDUFS2, NDUFS5, NDUFS6, NDUFS8, NDUFV2"
"hsa00900","Terpenoid backbone biosynthesis",9.92846170726355,9,0.00555555555555556,4.56938473297022e-06,4.56938473297022e-06,"","PDSS1, ZMPSTE24"
"hsa01230","Biosynthesis of amino acids",4.40488089829298,10,0.00617495711835334,9.59723428209742e-06,0.0479742055208686,"","SHMT2, ACO2, IDH3A"
"hsa00510","N-Glycan biosynthesis",10.2204752868889,10,0.0163120567375887,3.58791629573616e-05,0.0246727025927428,"","DPM3, STT3B, DPM1, ALG8, MGAT1"
"hsa00020","Citrate cycle (TCA cycle)",14.8926925608953,10,0.0134502923976608,4.71211931742676e-05,0.0484768270507415,"","IDH3A, ACO2, DLAT, SDHD"
"hsa01200","Carbon metabolism",6.82001808863431,10,0.0161364950838635,5.05200587574276e-05,0.000906575740410724,"","HK2, DLAT, SDHD, IDH3A, ACO2, SHMT2, HIBCH"
"hsa00630","Glyoxylate and dicarboxylate metabolism",12.0287132222616,10,0.0246998284734134,7.33771268021633e-05,0.00630769660342117,"","ACO2, GRHPR, SHMT2"
"hsa01210","2-Oxocarboxylic acid metabolism",9.47716799329703,6,0.0110193673729585,7.83997065287361e-05,0.000153693259328532,"","ACO2, IDH3A, DLAT"
"hsa05230","Central carbon metabolism in cancer",6.51555299539171,10,0.0143049932523617,0.000142530310095449,0.000397472657427746,"","SLC2A1, HIF1A, LDHA, HK2"
"hsa05205","Proteoglycans in cancer",2.74339073490177,10,0.0137314439946019,0.000323127740755992,0.0222469359277536,"","PXN, HIF1A, IL12B, COL1A1, CD63"
"hsa03083","Polycomb repressive complex",4.3437019969278,7,0.0159574468085106,0.000355943671156523,0.00056820750583921,"","SUZ12, RNF2, SCML2"
"hsa04066","HIF-1 signaling pathway",5.31881877174833,10,0.0107576633892423,0.00051855147868829,0.00144281688307558,"","HIF1A, SLC2A1, LDHA, HK2, PFKFB3"
