"","ID","Term_Description","Fold_Enrichment","occurrence","support","lowest_p","highest_p","Up_regulated","Down_regulated","freq"
"1","R-HSA-6799198","Complex I biogenesis",57.7847718526663,10,0.177325581395349,4.63263011258069e-46,2.44126360275387e-45,"","ACAD9, NDUFA1, NDUFA10, NDUFA11, NDUFA13, NDUFA2, NDUFA3, NDUFA6, NDUFA9, NDUFAF1, NDUFAF2, NDUFAF3, NDUFAF4, NDUFAF5, NDUFAF6, NDUFB11, NDUFB4, NDUFB5, NDUFB8, NDUFB9, NDUFS1, NDUFS2, NDUFS5, NDUFS6, NDUFS8, NDUFV2, TIMMDC1, TMEM126B, TMEM186",29
"2","R-HSA-1428517","The citric acid (TCA) cycle and respiratory electron transport",26.4215887850467,10,0.243456790123457,4.25293133159939e-40,3.00338916521004e-39,"","ACAD9, ACO2, COX5B, COX8A, DLAT, IDH3A, LDHA, NDUFA1, NDUFA10, NDUFA11, NDUFA13, NDUFA2, NDUFA3, NDUFA6, NDUFA9, NDUFAF1, NDUFAF2, NDUFAF3, NDUFAF4, NDUFAF5, NDUFAF6, NDUFB11, NDUFB4, NDUFB5, NDUFB8, NDUFB9, NDUFS1, NDUFS2, NDUFS5, NDUFS6, NDUFS8, NDUFV2, PM20D1, SDHD, SURF1, TIMMDC1, TMEM126B, TMEM186, UQCRC2",39
"3","R-HSA-611105","Respiratory electron transport",37.1519445281881,10,0.224800664451827,8.33237311969556e-39,4.36650433125462e-38,"","ACAD9, COX5B, COX8A, NDUFA1, NDUFA10, NDUFA11, NDUFA13, NDUFA2, NDUFA3, NDUFA6, NDUFA9, NDUFAF1, NDUFAF2, NDUFAF3, NDUFAF4, NDUFAF5, NDUFAF6, NDUFB11, NDUFB4, NDUFB5, NDUFB8, NDUFB9, NDUFS1, NDUFS2, NDUFS5, NDUFS6, NDUFS8, NDUFV2, SDHD, SURF1, TIMMDC1, TMEM126B, TMEM186, UQCRC2",34
"4","R-HSA-163200","Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.",35.9267912772586,10,0.224800664451827,4.23797346337642e-38,2.21910120720742e-37,"","ACAD9, COX5B, COX8A, NDUFA1, NDUFA10, NDUFA11, NDUFA13, NDUFA2, NDUFA3, NDUFA6, NDUFA9, NDUFAF1, NDUFAF2, NDUFAF3, NDUFAF4, NDUFAF5, NDUFAF6, NDUFB11, NDUFB4, NDUFB5, NDUFB8, NDUFB9, NDUFS1, NDUFS2, NDUFS5, NDUFS6, NDUFS8, NDUFV2, PM20D1, SDHD, SURF1, TIMMDC1, TMEM126B, TMEM186, UQCRC2",35
"5","R-HSA-5368287","Mitochondrial translation",6.55622550497437,10,0.015827517447657,3.50638243471962e-10,7.10778326896114e-06,"","DAP3, GFM2, MRPS23, MRPS5, MRRF, MTIF2",6
"6","R-HSA-5419276","Mitochondrial translation termination",5.84031582339671,10,0.015827517447657,4.06032292217988e-08,0.000117454944330012,"","DAP3, GFM2, MRPS23, MRPS5, MRRF",5
"7","R-HSA-5368286","Mitochondrial translation initiation",4.67225265871737,10,0.015827517447657,5.85679401392773e-06,0.00186622211719311,"","DAP3, MRPS23, MRPS5, MTIF2",4
"8","R-HSA-71406","Pyruvate metabolism and Citric Acid (TCA) cycle",9.23831775700934,10,0.0177029661607019,5.47332496247433e-05,5.47332496247433e-05,"","ACO2, DLAT, IDH3A, LDHA, SDHD",5
"9","R-HSA-71403","Citric acid cycle (TCA cycle)",13.857476635514,10,0.00590098872023395,0.000163356640749846,0.000163356640749846,"","ACO2, IDH3A, SDHD",3
"10","R-HSA-5689880","Ub-specific processing proteases",2.3496299497596,9,0.00581395348837209,0.000360548493302974,0.020785987234121,"","HIF1A, USP24, USP34, VDAC3",4
