Gene	sgRNA	eff
Dgkh	Dgkh_3	1
Dgkh	Dgkh_5	1
Dgkh	Dgkh_2	1
Dgkh	Dgkh_4	1
Dgkh	Dgkh_1	1
Slc25a2	Slc25a2_3	1
Slc25a2	Slc25a2_1	1
Slc25a2	Slc25a2_5	1
Slc25a2	Slc25a2_4	1
Slc25a2	Slc25a2_2	1
Polr1c	Polr1c_4	1
Polr1c	Polr1c_5	1
Polr1c	Polr1c_1	1
Polr1c	Polr1c_2	1
Polr1c	Polr1c_3	1
Slc6a1	Slc6a1_5	1
Slc6a1	Slc6a1_4	1
Slc6a1	Slc6a1_2	1
Slc6a1	Slc6a1_1	1
Slc6a1	Slc6a1_3	1
4930578I06Rik	4930578I06Rik_2	1
4930578I06Rik	4930578I06Rik_4	1
4930578I06Rik	4930578I06Rik_3	1
4930578I06Rik	4930578I06Rik_5	1
4930578I06Rik	4930578I06Rik_1	1
Lyrm9	Lyrm9_5	1
Lyrm9	Lyrm9_4	1
Lyrm9	Lyrm9_3	1
Lyrm9	Lyrm9_2	1
Lyrm9	Lyrm9_1	1
Txndc11	Txndc11_2	1
Txndc11	Txndc11_4	1
Txndc11	Txndc11_3	1
Txndc11	Txndc11_5	1
Txndc11	Txndc11_1	1
Afm	Afm_1	1
Afm	Afm_3	1
Afm	Afm_4	1
Afm	Afm_2	1
Afm	Afm_5	1
Ggn	Ggn_2	1
Ggn	Ggn_1	1
Ggn	Ggn_4	1
Ggn	Ggn_3	1
Ggn	Ggn_5	1
Tcaim	Tcaim_4	1
Tcaim	Tcaim_2	1
Tcaim	Tcaim_1	1
Tcaim	Tcaim_5	1
Tcaim	Tcaim_3	1
Elmo3	Elmo3_3	1
Elmo3	Elmo3_2	1
Elmo3	Elmo3_5	1
Elmo3	Elmo3_1	1
Elmo3	Elmo3_4	1
Prorsd1	Prorsd1_3	1
Prorsd1	Prorsd1_5	1
Prorsd1	Prorsd1_4	1
Prorsd1	Prorsd1_2	1
Prorsd1	Prorsd1_1	1
Olfr620	Olfr620_4	1
Olfr620	Olfr620_5	1
Olfr620	Olfr620_1	1
Olfr620	Olfr620_2	1
Olfr620	Olfr620_3	1
Akt2	Akt2_3	1
Akt2	Akt2_5	1
Akt2	Akt2_4	1
Akt2	Akt2_2	1
Akt2	Akt2_1	1
Scarf2	Scarf2_3	1
Scarf2	Scarf2_4	1
Scarf2	Scarf2_1	1
Scarf2	Scarf2_2	1
Scarf2	Scarf2_5	1
Olfr598	Olfr598_2	1
Olfr598	Olfr598_1	1
Olfr598	Olfr598_3	1
Nfya	Nfya_2	1
Nfya	Nfya_4	1
Nfya	Nfya_3	1
Nfya	Nfya_5	1
Nfya	Nfya_1	1
Lrrc23	Lrrc23_5	1
Lrrc23	Lrrc23_1	1
Lrrc23	Lrrc23_3	1
Lrrc23	Lrrc23_4	1
Lrrc23	Lrrc23_2	1
Senp1	Senp1_5	1
Senp1	Senp1_1	1
Senp1	Senp1_2	1
Senp1	Senp1_3	1
Senp1	Senp1_4	1
Fam198a	Fam198a_2	1
Fam198a	Fam198a_5	1
Fam198a	Fam198a_3	1
Fam198a	Fam198a_1	1
Fam198a	Fam198a_4	1
Gm973	Gm973_4	1
Gm973	Gm973_3	1
Gm973	Gm973_5	1
Gm973	Gm973_2	1
Gm973	Gm973_1	1
Clstn3	Clstn3_1	1
Clstn3	Clstn3_3	1
Clstn3	Clstn3_5	1
Clstn3	Clstn3_4	1
Clstn3	Clstn3_2	1
Lysmd3	Lysmd3_2	1
Lysmd3	Lysmd3_5	1
Lysmd3	Lysmd3_3	1
Lysmd3	Lysmd3_1	1
Lysmd3	Lysmd3_4	1
Dzip1l	Dzip1l_2	1
Dzip1l	Dzip1l_1	1
Dzip1l	Dzip1l_3	1
Dzip1l	Dzip1l_5	1
Dzip1l	Dzip1l_4	1
Osr1	Osr1_1	1
Osr1	Osr1_5	1
Osr1	Osr1_4	1
Osr1	Osr1_2	1
Osr1	Osr1_3	1
Mgat3	Mgat3_4	1
Mgat3	Mgat3_2	1
Mgat3	Mgat3_5	1
Mgat3	Mgat3_1	1
Mgat3	Mgat3_3	1
Lrrc8e	Lrrc8e_2	1
Lrrc8e	Lrrc8e_1	1
Lrrc8e	Lrrc8e_3	1
Lrrc8e	Lrrc8e_4	1
Lrrc8e	Lrrc8e_5	1
Ccdc177	Ccdc177_2	1
Ccdc177	Ccdc177_3	1
Ccdc177	Ccdc177_4	1
Ccdc177	Ccdc177_1	1
Ccdc177	Ccdc177_5	1
Reep4	Reep4_1	1
Reep4	Reep4_3	1
Reep4	Reep4_2	1
Reep4	Reep4_5	1
Reep4	Reep4_4	1
Ppil4	Ppil4_3	1
Ppil4	Ppil4_5	1
Ppil4	Ppil4_2	1
Ppil4	Ppil4_4	1
Ppil4	Ppil4_1	1
Ankrd34c	Ankrd34c_1	1
Ankrd34c	Ankrd34c_4	1
Ankrd34c	Ankrd34c_3	1
Ankrd34c	Ankrd34c_5	1
Ankrd34c	Ankrd34c_2	1
Pskh1	Pskh1_2	1
Pskh1	Pskh1_4	1
Pskh1	Pskh1_5	1
Pskh1	Pskh1_1	1
Pskh1	Pskh1_3	1
Hemgn	Hemgn_5	1
Hemgn	Hemgn_2	1
Hemgn	Hemgn_3	1
Hemgn	Hemgn_4	1
Hemgn	Hemgn_1	1
Snap29	Snap29_5	1
Snap29	Snap29_4	1
Snap29	Snap29_3	1
Snap29	Snap29_1	1
Snap29	Snap29_2	1
Crybb2	Crybb2_1	1
Crybb2	Crybb2_5	1
Crybb2	Crybb2_3	1
Crybb2	Crybb2_4	1
Crybb2	Crybb2_2	1
Plcl2	Plcl2_2	1
Plcl2	Plcl2_3	1
Plcl2	Plcl2_4	1
Plcl2	Plcl2_5	1
Plcl2	Plcl2_1	1
Nbn	Nbn_3	1
Nbn	Nbn_4	1
Nbn	Nbn_5	1
Nbn	Nbn_2	1
Nbn	Nbn_1	1
Calr	Calr_5	1
Calr	Calr_1	1
Calr	Calr_4	1
Calr	Calr_3	1
Calr	Calr_2	1
Sarm1	Sarm1_1	1
Sarm1	Sarm1_4	1
Sarm1	Sarm1_5	1
Sarm1	Sarm1_2	1
Sarm1	Sarm1_3	1
Lep	Lep_3	1
Lep	Lep_5	1
Lep	Lep_2	1
Lep	Lep_1	1
Lep	Lep_4	1
Haao	Haao_4	1
Haao	Haao_3	1
Haao	Haao_2	1
Haao	Haao_5	1
Haao	Haao_1	1
Ppm1k	Ppm1k_5	1
Ppm1k	Ppm1k_2	1
Ppm1k	Ppm1k_1	1
Ppm1k	Ppm1k_4	1
Ppm1k	Ppm1k_3	1
E430025E21Rik	E430025E21Rik_3	1
E430025E21Rik	E430025E21Rik_4	1
E430025E21Rik	E430025E21Rik_5	1
E430025E21Rik	E430025E21Rik_2	1
E430025E21Rik	E430025E21Rik_1	1
