Gene	sgRNA	mock_day12|beta	mock_day12|z	mock_day12|p-value	mock_day12|fdr	mock_day12|wald-p-value	mock_day12|wald-fdr	myci_Day12|beta	myci_Day12|z	myci_Day12|p-value	myci_Day12|fdr	myci_Day12|wald-p-value	myci_Day12|wald-fdr	z_Difference	beta_difference
Cox5b	1	-0.44819	-0.72558	0.28817	0.8026	0.4681	0.83634	-1.5189	-2.4589	0.079891	0.48518	0.013936	0.14398	-1.73332	-1.07071
Ldha	3	-0.67051	-1.6812	0.16816	0.65251	0.092716	0.59226	-1.551	-3.8338	0.0065249	0.10637	0.00012616	0.0033037	-2.1526	-0.88049
Nadk2	1	-1.0989	-1.2521	0.11642	0.56075	0.21053	0.74249	-1.8799	-2.142	0.057799	0.40924	0.032196	0.28892	-0.8899	-0.781
Gpi1	5	-1.0118	-2.9941	0.017057	0.20711	0.0027525	0.038935	-1.7738	-5.2241	0.00030826	0.01432	1.75E-07	3.96E-05	-2.23	-0.762
Ndufa3	5	-0.55949	-2.0438	0.14288	0.60483	0.040971	0.34809	-1.2837	-4.6438	0.0041102	0.076118	3.42E-06	0.00025119	-2.6	-0.72421
Ndufb9	5	-1.103	-3.428	0.010378	0.14574	0.000608	0.01167	-1.813	-5.595	0.00020551	0.0099256	2.21E-08	1.29E-05	-2.167	-0.71
Ndufa13	5	-0.87537	-2.7511	0.031443	0.2924	0.0059397	0.073125	-1.5793	-4.9487	0.00097616	0.030645	7.47E-07	0.00010389	-2.1976	-0.70393
Pdss1	5	-0.65602	-2.423	0.090629	0.49986	0.015394	0.16152	-1.3553	-5.003	0.0029285	0.061356	5.64E-07	8.97E-05	-2.58	-0.69928
Ndufaf1	5	-0.77491	-2.6834	0.050092	0.37514	0.0072875	0.086754	-1.4453	-4.9867	0.0017468	0.043984	6.14E-07	9.26E-05	-2.3033	-0.67039
Gm17720	1	0.30133	0.70239	0.36123	0.85342	0.48243	0.84193	-0.34366	-0.80106	0.35296	0.86515	0.4231	0.79291	-1.50345	-0.64499
Pdss2	5	-0.50937	-1.8549	0.17838	0.66679	0.06361	0.4731	-1.1466	-4.1596	0.0083744	0.12339	3.19E-05	0.001175	-2.3047	-0.63723
Ndufa1	4	-0.84537	-2.5679	0.05821	0.4012	0.010232	0.11493	-1.4811	-4.4341	0.0033395	0.066735	9.25E-06	0.00050704	-1.8662	-0.63573
Nup160	5	-2.2337	-4.7119	0	0	2.45E-06	0.00019109	-2.8679	-5.9785	0	0	2.25E-09	3.65E-06	-1.2666	-0.6342
Rplp0	1	-1.6902	-1.5344	0.07054	0.44409	0.12494	0.66481	-2.3191	-2.1054	0.035604	0.31862	0.035258	0.31109	-0.571	-0.6289
Ndufaf3	5	-1.0606	-3.1906	0.01305	0.17104	0.0014198	0.02284	-1.6874	-4.977	0.00046239	0.016981	6.46E-07	9.52E-05	-1.7864	-0.6268
Sod2	5	-0.18564	-0.78619	0.5896	0.95254	0.43176	0.82275	-0.80212	-3.3772	0.044236	0.36025	0.00073223	0.012898	-2.59101	-0.61648
Coq7	5	-0.47227	-1.8668	0.21034	0.71411	0.061923	0.46428	-1.0791	-4.2485	0.011817	0.15689	2.15E-05	0.00090089	-2.3817	-0.60683
Mocs3	5	-2.7756	-5.7834	0	0	7.32E-09	5.09E-06	-3.3803	-6.9943	0	0	2.67E-12	2.59E-08	-1.2109	-0.6047
Ndufb11	5	-0.90076	-2.9165	0.028206	0.27564	0.0035402	0.04812	-1.4943	-4.7933	0.0014386	0.039271	1.64E-06	0.00015966	-1.8768	-0.59354
Pmm2	5	-0.33876	-1.5852	0.34402	0.84481	0.11293	0.64121	-0.91278	-4.2703	0.025997	0.26464	1.95E-05	0.0008559	-2.6851	-0.57402
Coq4	5	-0.74558	-2.3827	0.05821	0.4012	0.017184	0.17548	-1.3122	-4.183	0.0035964	0.070565	2.88E-05	0.0010881	-1.8003	-0.56662
Gfm2	5	-1.0191	-2.9259	0.016389	0.2005	0.003435	0.046885	-1.5804	-4.4945	0.00092478	0.02995	6.97E-06	0.00041509	-1.5686	-0.5613
Rpl8	5	-2.7955	-5.1875	0	0	2.13E-07	3.71E-05	-3.355	-6.1897	0	0	6.03E-10	1.30E-06	-1.0022	-0.5595
Chchd5	5	-0.3319	-1.4208	0.35224	0.84786	0.15538	0.70684	-0.88512	-3.788	0.029542	0.28479	0.00015186	0.0037991	-2.3672	-0.55322
Ddx10	5	-1.7458	-4.111	0.00041102	0.016393	3.94E-05	0.0013705	-2.2988	-5.3784	0	0	7.52E-08	2.65E-05	-1.2674	-0.553
Isca1	3	-1.2917	-2.4085	0.020088	0.22458	0.016016	0.16628	-1.8418	-3.3518	0.0021578	0.048894	0.00080295	0.013917	-0.9433	-0.5501
Mto1	5	-0.19805	-1.0535	0.56463	0.94302	0.2921	0.78077	-0.73627	-3.9137	0.06119	0.42025	9.09E-05	0.0025904	-2.8602	-0.53822
Ndufs1	5	-0.83451	-2.4409	0.037608	0.32404	0.01465	0.15539	-1.3619	-3.9599	0.002723	0.058114	7.50E-05	0.0022346	-1.519	-0.52739
Slc30a9	5	-0.35175	-1.6025	0.32969	0.8374	0.10904	0.63322	-0.87752	-3.9964	0.030929	0.29352	6.43E-05	0.0019879	-2.3939	-0.52577
Coq2	5	-0.71458	-2.1878	0.068691	0.44009	0.028686	0.26399	-1.2273	-3.7427	0.0056515	0.095735	0.00018206	0.004364	-1.5549	-0.51272
Idh3a	5	-0.86986	-2.7858	0.032111	0.29537	0.0053389	0.067043	-1.38	-4.4059	0.002312	0.05079	1.05E-05	0.00056022	-1.6201	-0.51014
Slc39a9	5	-0.06378	-0.4292	0.92201	0.99789	0.66778	0.90298	-0.57151	-3.8443	0.1323	0.60441	0.0001209	0.0031832	-3.4151	-0.50773
Gm8973	1	0.11463	0.24161	0.7725	0.98655	0.80908	0.94566	-0.38827	-0.8184	0.32039	0.84178	0.41313	0.78815	-1.06001	-0.5029
Tmem126b	5	-0.5154	-1.8479	0.17391	0.65997	0.064616	0.47834	-1.0121	-3.6254	0.0168	0.20223	0.00028856	0.0062267	-1.7775	-0.4967
Rpl7	2	-2.6333	-3.3985	0.00097616	0.027066	0.00067753	0.012766	-3.1299	-4.0398	0	0	5.35E-05	0.0017357	-0.6413	-0.4966
Surf1	5	-0.34225	-1.4392	0.34053	0.84481	0.1501	0.70003	-0.83792	-3.5138	0.0373	0.32527	0.00044182	0.0086168	-2.0746	-0.49567
Cmc1	5	0.14959	0.86414	0.28941	0.80325	0.38751	0.80566	-0.33911	-1.9586	0.33898	0.85766	0.050163	0.40699	-2.82274	-0.4887
Ndufa6	5	-0.54148	-2.1128	0.155	0.62985	0.034621	0.3084	-1.0247	-3.9884	0.01567	0.19414	6.65E-05	0.0020314	-1.8756	-0.48322
Ndufs2	5	-0.82927	-2.4234	0.038481	0.32865	0.015375	0.16141	-1.3075	-3.7893	0.0036478	0.071142	0.00015107	0.0037889	-1.3659	-0.47823
Tmem186	5	-0.19975	-1.2623	0.56119	0.94238	0.20683	0.73943	-0.66479	-4.1905	0.087495	0.50563	2.78E-05	0.0010642	-2.9282	-0.46504
Olfr1002	1	0.20761	0.92503	0.54953	0.93792	0.35495	0.79615	-0.25126	-1.1196	0.4551	0.9229	0.2629	0.74517	-2.04463	-0.45887
Gatb	5	-2.0355	-4.5717	5.14E-05	0.0028249	4.84E-06	0.00030185	-2.4896	-5.5864	0	0	2.32E-08	1.29E-05	-1.0147	-0.4541
